trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
,,,,,,,,,,,22.3
,,,,,,,,,,,25.59
,,,,,,,,,,,25.59
,,,,,,,,,,,48.93
,,,,,,,,,,,45.31
,,,,,,,,,,,47.51
,,,,,,,,,,,28.07
,,,,,,,,,,,28.07
,,,,,,,,,,,24.58
,,,,,,,,,,,21.79
,,,,,,,,,,,56.3
,,,,,,,,,,,33.69
,,,,,,,,,,,56.07
,,,,,,,,,,,27.2
,,,,,,,,,,,16.49
,,,,,,,,,,,30.82
,,,,,,,,,,,30.82
,,,,,,,,,,,21.99
,,,,,,,,,,,22.77
,,,,,,,,,,,30.5
,,,,,,,,,,,30.5
,,,,,,,,,,,54.34
,,,,,,,,,,,28.51
,,,,,,,,,,,50.37
,,,,,,,,,,,50.36
,,,,,,,,,,,29.96
,,,,,,,,,,,24.04
,,,,,,,,,,,24.04
,,,,,,,,,,,29.6
,,,,,,,,,,,26.8
,,,,,,,,,,,21.72
,,,,,,,,,,,20.15
,,,,,,,,,,,21.01
,,,,,,,,,,,21.72
,,,,,,,,,,,22.16
,,,,,,,,,,,21.72
,,,,,,,,,,,22.22
,,,,,,,,,,,22.84
,,,,,,,,,,,30.45
,,,,,,,,,,,56.32
,,,,,,,,,,,22.84
,,,,,,,,,,,44.13
,,,,,,,,,,,44.14
,,,,,,,,,,,52.52
,,,,,,,,,,,51.25
,,,,,,,,,,,39.47
,,,,,,,,,,,21.12
,,,,,,,,,,,39.39
,,,,,,,,,,,18.09
,,,,,,,,,,,46.61
,,,,,,,,,,,23.6
,,,,,,,,,,,50.21
,,,,,,,,,,,46.92
,,,,,,,,,,,48.77
,,,,,,,,,,,22.48
,,,,,,,,,,,24.08
,,,,,,,,,,,24.28
,,,,,,,,,,,33.41
,,,,,,,,,,,25.35
,,,,,,,,,,,21.66
,,,,,,,,,,,22.98
,,,,,,,,,,,22.57
,,,,,,,,,,,24.53
,,,,,,,,,,,17.77
,,,,,,,,,,,28.1
,,,,,,,,,,,21.18
,,,,,,,,,,,50.46
,,,,,,,,,,,42.36
,,,,,,,,,,,54.91
,,,,,,,,,,,29.14
,,,,,,,,,,,21.48
,,,,,,,,,,,61.11
,,,,,,,,,,,23.19
,,,,,,,,,,,23.28
,,,,,,,,,,,23.88
,,,,,,,,,,,15.46
,,,,,,,,,,,24.08
,,,,,,,,,,,56.54
,,,,,,,,,,,33.41
,,,,,,,,,,,22.98
,,,,,,,,,,,25.86
,,,,,,,,,,,39.7
,,,,,,,,,,,49.54
,,,,,,,,,,,20.11
,,,,,,,,,,,22.65
,,,,,,,,,,,22.65
,,,,,,,,,,,51.38
,,,,,,,,,,,43.48
,,,,,,,,,,,22.22
,,,,,,,,,,,22.13
,,,,,,,,,,,22.22
,,,,,,,,,,,22.04
,,,,,,,,,,,51.44
,,,,,,,,,,,26.74
,,,,,,,,,,,26.74
,,,,,,,,,,,22.86
,,,,,,,,,,,28.0
,,,,,,,,,,,28.0
,,,,,,,,,,,22.46
,,,,,,,,,,,19.28
,,,,,,,,,,,20.01
,,,,,,,,,,,21.85
,,,,,,,,,,,22.27
,,,,,,,,,,,49.47
,,,,,,,,,,,22.27
,,,,,,,,,,,49.47
,,,,,,,,,,,22.27
,,,,,,,,,,,49.47
