PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,ESG_ranking
12.58,3.73,0.38,3.19,3.01,1.49,12
11.39,1.26,1.71,0.54,15.7,0.92,26.3
10.58,5.64,1.67,2.6,15.68,1.91,19.8
11.09,3.27,0.36,1.25,3.17,1.6,12.9
9.38,5.46,1.87,0.81,19.91,0.99,27.9
21.03,4.56,2.27,10.83,10.74,1.32,17.6
75.28,1.05,18.34,9.66,24.55,13.06,31.6
10.34,1.71,1.63,0,16.29,1.19,24.8
15.98,0.96,1.76,0.64,11.05,0.94,26.3
9.51,5.99,2.11,0.84,22.43,1.02,27.9
9.3,2.58,0.21,1.77,2.27,1.43,12
34.49,0.96,0.77,0.52,2.41,0.61,30
12.49,5.7,2.09,3.31,16.61,2.22,19.8
4.33,2.16,0.48,0.69,10.19,0.92,26.9
3.98,6.67,0.31,0.96,7.79,0.95,30.6
