trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,payOutRatio,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
4.04,7.18,0.031400003,0.70972,0.13052,1.5734333,,3.67,1.498,1,1,29.24
2.48,3.42,0.00135,0.74511003,0.13854,2.8219264,,4.39,0.608,3,6,26.4
1.08,1.83,0.00252,0.56872004,0.02467,0.27300367,,5.76,1.645,10,10,22.35
-2.22,-0.36,0.01287,0.25018,-2.7922602,0.3341894,,,0.705,10,10,47.76
2.04,4.51,0.03127,1.11572,0.033,2.4040587,,,1.493,9,8,29.82
5.62,8.9,0.00972,0.87174004,0.041989997,1.1172379,,0.74,0.727,7,7,22.37
2.25,3.81,0.009430001,0.87612,0.07247,1.42647,,3.63,0.415,7,7,28.37
6.29,2.9,0.18948,0.59799,0.090179995,1.0822884,,0.49,0.826,8,9,16.38
0.38,2.61,0.00624,0.89511,0.0044,0.24263701,,7.85,2.164,1,2,16.81
11.95,29.82,0.04007,0.68046,0.48849,36.2564,,0.14,1.725,8,10,13.59
1.26,1.51,0.00139,0.72038,0.21372,11.016333,,4.48,0.925,2,1,15.47
-1.24,0.26,0.0064600003,0.8201,-0.54526,11.135027,,,0.712,10,8,27.14
1.97,2.3,0.00071000005,0.58596003,0.11762,1.0037322,,7.13,0.694,1,2,23.91
4.3,4.08,0.13,0.45771998,0.15496999,5.7065773,,,2.415,9,9,25.23
8.69,11.16,0.00629,0.97959,0.53923,17.607195,,0.64,0.962,3,1,16.68
1.63,5.44,0.00068000006,0.67484003,0.03358,2.3566327,,1.38,1.412,2,1,15.7
1.91,2.58,0.46662998,0.35005,0.023929998,0.7528155,,1.62,0.497,9,8,25.26
4.83,5.36,0.00078,0.77088,0.24796,2.6657717,,3.24,1.196,5,2,36.24
-7.26,6.02,0.00316,0.94838995,-0.20201,1.7217867,,3.23,1.54,8,7,11.43
0.66,3.53,0.1736,0.62114,0.00403,0.12589918,,4.8,0.718,7,5,16.25
3.56,3.43,0.01471,0.84549004,0.04958,0.48685437,,0.87,2.025,2,2,30.35
5.6,6.5,0.00149,0.84474,0.22569,5.4462132,,1.75,1.1,3,3,20.1
-0.68,2.1,0.06322,0.98877996,-0.08123,5.5371532,,,1.842,10,10,22.18
-3.67,7.75,0.00090000004,0.65506,-0.02856,1.4141636,,2.48,1.522,8,2,39.6
5.39,8.88,0.00014999999,0.14166,0.10813,0.19898966,,,0.465,,,24.71
3.08,3.44,0.13178,0.58911,0.28151,2.999611,,2.39,1.388,7,7,28.3
0.72,1.08,0.00617,0.64603996,0.11161,2.4255142,,2.01,0.412,8,9,33.35
7.66,12.37,0.00446,0.24723,0.15093,0.27263206,,,0.675,10,9,24.22
5.68,6.73,0.11257,0.84142,0.02856,0.38620788,,3.26,1.509,1,1,15.89
3.84,3.72,0.00483,0.97117996,0.118190005,1.405311,,5.47,1.848,8,10,28.3
1.69,2.38,0.00025,0.45712003,0.09172,1.2621475,,5.81,0.469,2,5,18.84
44.28,19.28,0.0036300002,0.6632,0.264,2.434168,,,0.894,10,10,20.66
66387.56,28723.4,0.39492,0.20097,0.264,2.4284708,,,0.894,10,10,45.76
4.36,14.34,0.00312,0.89315003,0.06444,3.5352407,,1.33,0.445,10,10,23.82
1.9,2.9,0.40240002,0.48643002,0.123009995,1.7951218,,4.25,1.419,8,7,18.3
2.01,1.98,0.02015,0.54319,0.22653,5.918883,,1.11,0.788,10,10,22.26
14.74,7.88,0.01503,1.03713,0.23464,0.61634886,,2.25,1.964,1,1,18.03
12.92,9.77,0.00564,0.89355004,0.03767,0.23507422,,2.97,0.636,2,2,32.92
7.98,17.62,0.0068800002,0.92971003,0.11805,3.235581,,,-0.024,6,5,22.24
0.03,,0.60884,0.13222,0.08566,0.08967866,,6.25,0.695,8,6,36.86
3.87,5.88,0.00158,0.87397003,0.18903999,2.3747292,,2.93,1.102,1,2,20.93
117.44,204.02,0.0013600001,0.96999,0.20075001,5.5138545,,,1.403,1,2,19.23
0.02,4.35,0.008119999,0.70237,0.00045000002,2.2872562,,,2.543,8,7,19.82
1.84,6.15,0.00958,0.71116996,0.18101,19.744396,,3.83,1.499,10,10,23.39
36.51,45.74,0.00955,0.88143,0.30808002,6.69334,,2.52,1.383,4,7,18.25
3.86,7.11,0.00098,0.79173,0.17830999,2.328803,,3.2,0.372,2,6,22.74
0.87,2.79,0.0073900004,1.01514,0.069299996,6.589394,,,0.309,3,3,25.7
0.61,5.5,0.18528,0.65424,0.01153,0.65275973,,1.17,1.703,8,5,19.78
1.07,2.55,0.00246,0.93859,0.1118,6.9264846,,,0.779,9,9,23.11
5.75,8.54,0.00658,0.93157995,0.10818,3.7299032,,1.63,1.001,3,4,16.63
3.53,,,0.17382,,,,6.26,,,,21.43
1.21,2.04,0.00211,1.0156,0.05878,3.0514834,,4.4,1.166,8,8,12.51
2.31,,,0.2855,9.78322,54.70449,,7.06,0.899,,,22.14
1.37,,0.08116,0.36001998,0.04956,0.14574611,,0.25,0.54,7,4,26.69
21.81,23.76,0.0026699998,0.86056,0.18167,2.1049743,,1.85,0.629,7,9,23.6
7.14,8.93,0.0044299997,0.84870005,0.20177999,5.183269,,1.43,0.603,3,3,20.95
3.15,5.49,0.00505,1.00925,0.03086,0.8946791,,,1.421,1,1,7.98
-0.06,1.36,0.07846,0.60532004,-0.00343,0.99013036,,4.21,2.55,10,10,24.49
3.46,2.61,0.00357,0.92915,0.21516001,6.544636,,3.69,0.751,2,3,10.1
3.76,6.79,0.0094,0.94371,0.037469998,0.77925646,,6.39,0.906,2,5,10.44
3.98,4.63,0.55526,0.35492,0.09119,1.8173558,,2.85,0.709,10,9,70.47
3.82,6.95,0.00875,0.9153,0.25456,20.204994,,,1.044,2,3,12.02
8.1,11.5,0.00308,0.97067,0.051659998,1.5450485,,1.08,1.092,4,5,9.21
18.01,13.98,0.00429,1.06741,0.17916,1.6255264,,2.17,1.343,4,4,26.13
4.95,7.6,0.00403,0.98380995,0.019129999,0.28987238,,,0.379,1,2,19.89
7.87,6.1,0.00535,0.95967,0.22997999,2.434691,,2.44,1.023,2,2,29.33
