trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions,profitMargins,priceToSalesTrailing12Months,fiveYearAvgDividendYield,beta,overallRisk,boardRisk,ESG_score
4.04,7.18,0.031400003,0.70972,0.13052,1.5734333,3.67,1.498,1,1,29.24
2.48,3.42,0.00135,0.74511003,0.13854,2.8219264,4.39,0.608,3,6,26.4
1.08,1.83,0.00252,0.56872004,0.02467,0.27300367,5.76,1.645,10,10,22.35
5.62,8.9,0.00972,0.87174004,0.041989997,1.1172379,0.74,0.727,7,7,22.37
2.25,3.81,0.009430001,0.87612,0.07247,1.42647,3.63,0.415,7,7,28.37
6.29,2.9,0.18948,0.59799,0.090179995,1.0822884,0.49,0.826,8,9,16.38
0.38,2.61,0.00624,0.89511,0.0044,0.24263701,7.85,2.164,1,2,16.81
11.95,29.82,0.04007,0.68046,0.48849,36.2564,0.14,1.725,8,10,13.59
1.26,1.51,0.00139,0.72038,0.21372,11.016333,4.48,0.925,2,1,15.47
1.97,2.3,0.00071,0.58596003,0.11762,1.0037322,7.13,0.694,1,2,23.91
8.69,11.16,0.00629,0.97959,0.53923,17.607195,0.64,0.962,3,1,16.68
1.63,5.44,0.00068,0.67484003,0.03358,2.3566327,1.38,1.412,2,1,15.7
1.91,2.58,0.46662998,0.35005,0.023929998,0.7528155,1.62,0.497,9,8,25.26
4.83,5.36,0.00078,0.77088,0.24796,2.6657717,3.24,1.196,5,2,36.24
-7.26,6.02,0.00316,0.94838995,-0.20201,1.7217867,3.23,1.54,8,7,11.43
0.66,3.53,0.1736,0.62114,0.00403,0.12589918,4.8,0.718,7,5,16.25
3.56,3.43,0.01471,0.84549004,0.04958,0.48685437,0.87,2.025,2,2,30.35
5.6,6.5,0.00149,0.84474,0.22569,5.4462132,1.75,1.1,3,3,20.1
-3.67,7.75,0.0009,0.65506,-0.02856,1.4141636,2.48,1.522,8,2,39.6
3.08,3.44,0.13178,0.58911,0.28151,2.999611,2.39,1.388,7,7,28.3
0.72,1.08,0.00617,0.64603996,0.11161,2.4255142,2.01,0.412,8,9,33.35
5.68,6.73,0.11257,0.84142,0.02856,0.38620788,3.26,1.509,1,1,15.89
3.84,3.72,0.00483,0.97117996,0.118190005,1.405311,5.47,1.848,8,10,28.3
1.69,2.38,0.00025,0.45712003,0.09172,1.2621475,5.81,0.469,2,5,18.84
4.36,14.34,0.00312,0.89315003,0.06444,3.5352407,1.33,0.445,10,10,23.82
1.9,2.9,0.40240002,0.48643002,0.123009995,1.7951218,4.25,1.419,8,7,18.3
2.01,1.98,0.02015,0.54319,0.22653,5.918883,1.11,0.788,10,10,22.26
14.74,7.88,0.01503,1.03713,0.23464,0.61634886,2.25,1.964,1,1,18.03
12.92,9.77,0.00564,0.89355004,0.03767,0.23507422,2.97,0.636,2,2,32.92
3.87,5.88,0.00158,0.87397003,0.18903999,2.3747292,2.93,1.102,1,2,20.93
1.84,6.15,0.00958,0.71116996,0.18101,19.744396,3.83,1.499,10,10,23.39
36.51,45.74,0.00955,0.88143,0.30808002,6.69334,2.52,1.383,4,7,18.25
3.86,7.11,0.00098,0.79173,0.17830999,2.328803,3.2,0.372,2,6,22.74
0.61,5.5,0.18528,0.65424,0.01153,0.65275973,1.17,1.703,8,5,19.78
5.75,8.54,0.00658,0.93157995,0.10818,3.7299032,1.63,1.001,3,4,16.63
1.21,2.04,0.00211,1.0156,0.05878,3.0514834,4.4,1.166,8,8,12.51
21.81,23.76,0.00267,0.86056,0.18167,2.1049743,1.85,0.629,7,9,23.6
7.14,8.93,0.00443,0.84870005,0.20177999,5.183269,1.43,0.603,3,3,20.95
-0.06,1.36,0.07846,0.60532004,-0.00343,0.99013036,4.21,2.55,10,10,24.49
3.46,2.61,0.00357,0.92915,0.21516001,6.544636,3.69,0.751,2,3,10.1
3.76,6.79,0.0094,0.94371,0.037469998,0.77925646,6.39,0.906,2,5,10.44
3.98,4.63,0.55526,0.35492,0.09119,1.8173558,2.85,0.709,10,9,70.47
8.1,11.5,0.00308,0.97067,0.051659998,1.5450485,1.08,1.092,4,5,9.21
18.01,13.98,0.00429,1.06741,0.17916,1.6255264,2.17,1.343,4,4,26.13
7.87,6.1,0.00535,0.95967,0.22997999,2.434691,2.44,1.023,2,2,29.33
3.13,4.04,0.00652,0.97382003,0.21335,2.0392885,4.48,1.346,6,5,23.54
9.1,8.39,0.08462,0.82188004,0.30807,3.5135207,3,1.03,2,5,30.19
17.39,32.05,0.01563,0.89885,0.02646,0.5289926,0.87,0.558,3,4,11.65
3.29,3.8,0.00052,0.78054,0.23486,3.4946578,3,0.853,1,6,13.87
13.8,16.16,0.15043001,0.67864,0.15572,6.944504,0.99,1.258,8,10,18.08
2.77,3.8,0.00099,0.83943003,0.11821,3.74748,2.36,0.412,3,5,26.17
4.86,5.16,0.00026,0.49113,0.29496,2.172518,5.29,1.103,1,3,17.73
3.71,4.62,0.00761,0.88315004,0.12658,1.4182413,2.23,0.98,10,10,23.09
5.14,20.93,0.00396,0.86143,0.02158,1.1845776,2.66,1.038,8,7,19.3
8.87,9.88,0.00441,0.89879996,0.5793,14.126755,2.96,0.498,10,9,17.8
6.44,6.15,0.00737,0.82265,0.2515,1.8735062,4.68,1.272,4,8,25.19
3.01,3.61,0.00458,0.97486997,0.11887,2.2949426,2.81,0.374,3,5,21.7
15.31,17.38,0.00196,0.72255,0.0273,1.3030118,0.74,0.765,2,4,23.29
2.47,3,0.09947,0.62926996,0.23417,5.6782827,3.04,0.591,4,7,21.63
3.13,3.81,0.00025,0.76793,0.31278,6.67065,0.83,0.767,2,4,17.24
2.55,3.23,0.35579,0.5478,0.08262,1.3993574,3.14,0.228,4,2,23.5
1.08,1.66,0.00228,0.47402,0.17878,1.4945345,2.08,2.882,3,3,42.38
3.7,1.81,0.01481,0.98091006,0.26081,6.7905483,3.1,0.844,9,5,16.09
1.85,2.19,0.00305,0.78032994,0.25346002,4.966328,1.26,1.183,2,3,21.91
14.23,20.77,0.00904,0.91455,0.1673,3.847093,1.16,0.917,4,5,22.77
2.13,2.95,0.0189,0.8987,0.28589,3.5165117,4.04,0.19,5,8,36.07
