Symbol,Company Name
ITC.NS,ITC Limited
WIPRO.NS,Wipro Limited
TITAN.NS,Titan Company Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
TCS.NS,Tata Consultancy Services Limited
NESTLEIND.NS,Nestlé India Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJFINSV.NS,Bajaj Finserv Ltd.
INDUSINDBK.NS,IndusInd Bank Limited
TATASTEEL.NS,Tata Steel Limited
CIPLA.NS,Cipla Limited
MARUTI.NS,Maruti Suzuki India Limited
ULTRACEMCO.NS,UltraTech Cement Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
BRITANNIA.NS,Britannia Industries Limited
TECHM.NS,Tech Mahindra Limited
RELIANCE.NS,Reliance Industries Limited
TATACONSUM.NS,Tata Consumer Products Limited
LTIM.NS,LTIMindtree Limited
HINDALCO.NS,Hindalco Industries Limited
ADANIENT.NS,Adani Enterprises Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
NTPC.NS,NTPC Limited
BAJFINANCE.NS,Bajaj Finance Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
LT.NS,Larsen & Toubro Limited
COALINDIA.NS,Coal India Limited
MM.NS,MM.NS
BHARTIARTL.NS,Bharti Airtel Limited
